2026-08-16T11:45:09Z [extract] HD 2026-03-18__hd-us-20260318-fy-10k__828355.md: 0 facts, 0 rejected
2026-08-16T11:45:11Z [extract] HD 2026-02-24__hd-us-20260224-q4-10k__940544.md: 0 facts, 0 rejected
2026-08-16T11:45:14Z [extract] HD 2026-05-19__hd-us-20260519-q1-10q__1053121.md: 4 facts, 0 rejected
2026-08-16T11:45:15Z [extract] HD 2026-05-19__hd-us-20260519-q1-8k-2__1038586.md: 8 facts, 1 rejected
2026-08-16T11:45:16Z [extract] HD 2026-02-24__hd-us-20260224-q4-8k-2__904387.md: 2 facts, 1 rejected
2026-08-16T11:45:17Z [extract] HD 2026-05-19__hd-us-20260519-q1-8k__1038584.md: 8 facts, 1 rejected
2026-08-16T11:45:23Z [extract] HD 2025-11-18__hd-us-20251118-q3-10q__437649.md: 4 facts, 4 rejected
2026-08-16T11:45:24Z [extract] HD 2026-02-24__hd-us-20260224-q4-8k__615609.md: 14 facts, 1 rejected
2026-08-16T11:45:25Z [extract] HD 2025-08-25__hd-us-20250825-q2-10q__144029.md: 6 facts, 2 rejected
2026-08-16T11:45:29Z [extract] HD 2025-11-18__hd-us-20251118-q3-8k__359994.md: 11 facts, 1 rejected
2026-08-16T11:45:31Z [extract] HD 2025-08-19__hd-us-20250819-q2-10q__148871.md: 0 facts, 8 rejected
2026-08-16T11:45:32Z [extract] HD 2025-08-20__hd-us-20250820-q2-8k__143688.md: 9 facts, 4 rejected
2026-08-16T11:45:34Z [extract] HD 2025-03-20__hd-us-20250320-fy-10k__778723.md: 0 facts, 0 rejected
2026-08-16T11:45:35Z [extract] HD 2025-08-19__hd-us-20250819-q2-8k__143666.md: 14 facts, 1 rejected
2026-08-16T11:45:37Z [extract] HD 2025-05-20__hd-us-20250520-q1-8k__101847.md: 7 facts, 1 rejected
2026-08-16T11:45:40Z [extract] HD 2025-05-20__hd-us-20250520-q1-10q__101832.md: 4 facts, 0 rejected
2026-08-16T11:45:48Z [extract] ADI 2026-02-18__adi-us-20260218-q1-10q__602087.md: 2 facts, 2 rejected
2026-08-16T11:45:50Z [extract] ADI 2026-05-20__adi-us-20260520-q2-10q__1040607.md: 4 facts, 4 rejected
2026-08-16T11:45:52Z [extract] ADI 2025-11-25__adi-us-20251125-q4-10k__361135.md: 0 facts, 0 rejected
2026-08-16T11:45:55Z [extract] ADI 2026-05-20__adi-us-20260520-q2-8k__1040581.md: 17 facts, 4 rejected
2026-08-16T11:45:56Z [extract] ADI 2026-05-20__adi-us-20260520-q2-8k-2__1040614.md: 13 facts, 0 rejected
2026-08-16T11:46:00Z [extract] ADI 2026-02-18__adi-us-20260218-q1-8k-2__602115.md: 11 facts, 2 rejected
2026-08-16T11:46:01Z [extract] ADI 2025-08-21__adi-us-20250821-q3-10q__143765.md: 2 facts, 2 rejected
2026-08-16T11:46:07Z [extract] ADI 2025-11-25__adi-us-20251125-q4-8k__361005.md: 17 facts, 4 rejected
2026-08-16T11:46:08Z [extract] ADI 2025-08-20__adi-us-20250820-q3-10q__143734.md: 4 facts, 4 rejected
2026-08-16T11:46:09Z [extract] ADI 2025-05-22__adi-us-20250522-q2-10q__102677.md: 4 facts, 4 rejected
2026-08-16T11:46:13Z [extract] ADI 2025-08-20__adi-us-20250820-q3-8k__155976.md: 7 facts, 3 rejected
2026-08-16T11:46:15Z [extract] ADI 2025-02-19__adi-us-20250219-q1-10q__102664.md: 2 facts, 2 rejected
2026-08-16T11:46:15Z [extract] ADI 2024-11-26__adi-us-20241126-q4-10k__102663.md: 0 facts, 0 rejected
2026-08-16T11:46:16Z [extract] ADI 2025-02-19__adi-us-20250219-q1-8k__102670.md: 6 facts, 2 rejected
2026-08-16T11:46:23Z [extract] ADI 2025-05-22__adi-us-20250522-q2-8k__102679.md: 17 facts, 4 rejected
2026-08-16T11:46:27Z [extract] ADI 2024-11-26__adi-us-20241126-q4-8k__102666.md: 14 facts, 4 rejected
2026-08-16T11:46:32Z [extract] HAS 2026-04-16__has-ln-20260416-q3-8k-2__955907.md: 1 facts, 0 rejected
2026-08-16T11:46:33Z [extract] HAS 2026-01-14__has-ln-20260114-q2-8k__401006.md: 1 facts, 1 rejected
2026-08-16T11:46:36Z [extract] HAS 2025-10-10__has-ln-20251010-q1-8k__148167.md: 0 facts, 0 rejected
2026-08-16T11:46:38Z [extract] HAS 2026-07-10__has-ln-20260710-q4-8k__1572805.md: 2 facts, 3 rejected
2026-08-16T11:46:40Z [extract] HAS 2026-02-27__has-ln-20260227-h1-8k__642921.md: 2 facts, 7 rejected
2026-08-16T11:46:43Z [extract] HAS 2025-06-19__has-ln-20250619-q4-8k__119747.md: 3 facts, 0 rejected
2026-08-16T11:46:48Z [extract] HAS 2025-04-16__has-ln-20250416-q3-8k__119733.md: 0 facts, 1 rejected
2026-08-16T11:46:54Z [extract] HAS 2025-08-21__has-ln-20250821-h2-8k__143890.md: 9 facts, 19 rejected
2026-08-16T11:46:56Z [extract] HAS 2025-08-21__has-ln-20250821-h2-8k-2__671218.md: 19 facts, 8 rejected
2026-08-16T11:46:56Z [extract] HAS 2025-02-20__has-ln-20250220-q2-8k__119730.md: 3 facts, 8 rejected
2026-08-16T11:47:01Z [extract] HAS 2024-10-11__has-ln-20241011-q1-8k__119745.md: 2 facts, 5 rejected
2026-08-16T11:47:03Z [extract] HAS 2025-01-15__has-ln-20250115-q2-8k__119724.md: 3 facts, 3 rejected
2026-08-16T11:47:06Z [extract] HAS 2024-07-11__has-ln-20240711-q4-8k__119729.md: 1 facts, 0 rejected
2026-08-16T11:47:06Z [extract] HAS 2024-04-16__has-ln-20240416-q3-8k__119732.md: 0 facts, 0 rejected
2026-08-16T11:47:11Z [extract] HAS 2024-08-22__has-ln-20240822-h2-8k-2__671217.md: 5 facts, 2 rejected
2026-08-16T11:47:18Z [extract] HAS 2024-08-22__has-ln-20240822-h2-8k__119721.md: 8 facts, 21 rejected
